"";"*HDLENS2014";"*HDLENS2015";"*HDLENS2016";"*HDLENS2017";"*HDLENS2018";"*HDLENS2019";"*HDLENS2020";"*HDLENS2021";"*HDLENS2022";"*HDLENS2023";"*HDLENS2024"
"regular";0;0;0;2;0;0;0;2;0;17;0
"org";0;0;0;2;0;1;2;0;0;2;3
"avanço";0;0;0;2;2;0;4;4;7;23;12
"ambiental";0;0;0;3;0;3;12;0;5;2;9
"norteador";0;0;0;1;0;0;1;1;0;9;3
"animal";0;0;0;5;0;0;0;1;1;4;13
"função";0;0;0;2;3;5;1;9;1;15;7
"alternativa";0;0;0;1;0;2;0;2;1;22;1
"concepção";0;0;0;6;3;7;1;7;4;21;5
"privado";0;0;0;2;0;1;1;1;4;3;1
"menor";0;0;0;1;0;1;0;2;1;3;4
"apreender";0;0;0;1;0;0;0;0;0;16;0
"pesquisar";0;0;0;1;2;1;1;1;5;11;2
"ator";0;0;0;2;3;2;0;2;1;7;0
"reflexivo";0;0;0;1;0;2;0;1;1;13;1
"espírito";0;0;0;2;1;0;1;2;2;3;0
"futuro";0;0;0;1;3;5;9;4;7;44;14
"geração";0;0;0;1;4;2;5;0;1;6;8
"tendência";0;0;0;3;3;0;1;1;2;7;8
"curso";0;0;0;2;3;3;9;4;9;19;7
"descrição";0;0;0;1;2;5;1;1;0;5;1
"amostra";0;0;0;1;0;3;3;1;2;1;2
"participar";0;0;0;2;0;0;0;2;5;4;1
"adequado";0;0;0;1;8;2;1;1;5;7;7
"crescente";0;0;0;1;3;3;0;0;5;5;12
"baixo";0;0;0;1;0;0;1;0;1;4;10
"qualitativo";0;0;0;1;7;1;6;6;15;79;17
"portal";0;0;0;2;1;1;0;4;2;2;0
"capes";0;0;0;2;0;0;0;2;3;6;1
"total";0;0;0;1;0;7;0;1;0;4;0
"legislação";0;0;0;1;2;1;0;0;9;7;6
"guerra";0;0;0;1;0;0;0;0;2;8;4
"antes";0;0;0;1;0;1;2;0;3;16;3
"anteriormente";0;0;0;1;0;0;0;0;0;10;0
"sertão";0;0;0;3;0;3;2;2;1;1;0
"continuidade";0;0;0;1;0;1;2;2;4;6;4
"negativo";0;0;0;3;0;1;0;0;2;44;3
"positivo";0;0;0;2;0;1;1;1;2;35;5
"agente";0;0;0;1;2;0;5;1;5;29;2
"cognitivo";0;0;0;2;1;1;0;0;6;2;2
"panorama";0;0;0;1;1;1;4;2;2;2;2
"remoto";0;0;0;1;0;0;3;7;14;100;16
"fundamentar";0;0;0;1;0;0;0;1;2;10;2
"sofrer";0;0;0;2;0;1;1;3;3;4;0
"rocha";0;0;0;1;0;0;2;0;1;19;0
"destacar";0;0;0;4;3;6;8;7;8;60;48
"filme";0;0;0;3;0;0;4;3;0;9;1
"continuar";0;0;0;1;0;0;1;2;3;15;7
"chamar";0;0;0;2;0;1;2;0;0;6;0
"xxi";0;0;0;1;1;1;2;2;2;12;8
"souza";0;0;0;1;0;0;3;1;2;26;0
"estruturado";0;0;0;1;3;2;0;0;2;0;2
"olhar";0;0;0;1;2;2;1;2;6;20;3
"particular";0;0;0;1;2;1;2;2;1;6;0
"diário";0;0;0;1;0;3;3;0;2;9;0
"intenção";0;0;0;2;0;0;4;1;2;12;1
"empregar";0;0;0;1;0;0;2;0;0;3;5
"referido";0;0;0;1;0;0;6;4;1;7;2
"africano";0;0;0;1;0;0;2;0;0;9;2
"conseguir";0;0;0;1;1;2;1;4;1;18;3
"europeu";0;0;0;1;3;0;0;1;2;7;0
"machado";0;0;0;1;0;0;0;0;1;9;0
"motivação";0;0;0;1;0;1;1;1;4;11;8
"caber";0;0;0;1;0;1;0;1;1;13;0
"psicologia";0;0;0;1;0;0;0;0;2;6;1
"empírico";0;0;0;3;6;0;2;0;1;9;5
"avançado";0;0;0;1;0;0;1;3;3;5;2
"dispositivo";0;0;0;2;1;5;1;3;3;7;4
"capitalismo";0;0;0;1;0;0;0;1;0;3;6
"consumo";0;0;0;2;0;1;4;0;3;6;6
"desafiar";0;0;0;1;0;0;0;0;0;12;1
"capacidade";0;0;0;1;0;0;1;1;5;4;10
"motivar";0;0;0;1;0;2;0;1;1;15;0
"controlar";0;0;0;1;0;1;0;2;3;3;3
"consumidor";0;0;0;1;0;0;8;0;2;4;2
"filósofo";0;0;0;2;1;0;0;1;6;2;2
"nascimento";0;0;0;1;0;0;0;1;0;29;3
"lógico";0;0;0;1;0;0;0;2;0;9;0
"razão";0;0;0;1;1;1;2;2;1;2;3
"proveniente";0;0;0;1;2;1;3;0;1;3;1
"imigrante";0;0;0;1;0;0;0;0;0;24;0
"narrativa";0;0;0;2;3;1;3;3;0;8;8
"integração";0;0;0;1;1;1;1;2;2;18;37
"sujeitar";0;0;0;1;3;0;0;2;2;5;2
"realização";0;0;0;1;2;1;1;5;6;25;1
"adolescente";0;0;0;1;2;3;0;1;0;10;13
"conduta";0;0;0;1;8;2;1;0;1;0;0
"informática";0;0;0;1;1;0;3;0;2;2;3
"capacitação";0;0;0;1;0;0;1;1;0;8;5
"alcance";0;0;0;1;0;2;0;0;2;2;4
"historiador";0;0;0;3;1;7;6;2;1;8;2
"claro";0;0;0;1;0;2;0;0;1;10;3
"embasar";0;0;0;1;1;0;1;1;0;8;2
"doutorado";0;0;0;1;1;2;4;0;3;6;4
"foco";0;0;0;1;1;5;4;8;2;18;7
"matéria";0;0;0;1;0;0;1;4;1;17;2
"tarefa";0;0;0;1;0;3;2;0;0;14;3
"completo";0;0;0;1;0;1;3;0;0;5;2
"apontado";0;0;0;1;0;1;2;0;0;9;0
"costa";0;0;0;1;0;0;1;0;0;9;3
"responsabilidade";0;0;0;1;4;4;1;0;1;14;1
"operação";0;0;0;0;1;1;0;0;1;6;1
"gerenciamento";0;0;0;0;1;4;1;1;0;4;1
"fotográfico";0;0;0;0;7;1;1;0;0;0;1
"realidade";0;0;0;0;4;7;11;5;12;40;9
"retratar";0;0;0;0;1;2;1;5;1;10;2
"fruto";0;0;0;0;3;1;1;0;0;6;0
"devidamente";0;0;0;0;1;1;0;0;0;7;2
"intuito";0;0;0;0;2;2;3;1;1;4;1
"esperar";0;0;0;0;1;1;1;1;2;7;3
"eficaz";0;0;0;0;4;0;0;0;2;22;27
"eficiente";0;0;0;0;2;0;1;1;1;18;2
"documental";0;0;0;0;2;7;4;1;8;27;3
"2011";0;0;0;0;1;1;0;3;2;3;5
"escala";0;0;0;0;4;2;1;0;1;2;2
"individual";0;0;0;0;4;2;0;0;2;12;4
"emergir";0;0;0;0;3;2;0;1;2;16;5
"cidadania";0;0;0;0;15;4;0;4;2;4;1
"série";0;0;0;0;4;3;2;0;3;17;1
"ordenamento";0;0;0;0;4;1;0;0;1;4;0
"indexar";0;0;0;0;3;1;0;5;0;0;1
"quantitativo";0;0;0;0;1;3;1;0;0;9;5
"recuperar";0;0;0;0;2;3;1;2;1;2;1
"software";0;0;0;0;1;3;5;3;7;13;8
"revisar";0;0;0;0;1;1;0;2;0;4;2
"aplicativo";0;0;0;0;1;0;1;1;6;26;2
"somente";0;0;0;0;2;1;0;1;0;11;2
"2018";0;0;0;0;3;4;8;6;4;15;9
"2023";0;0;0;0;2;0;0;0;0;5;11
"vivenciar";0;0;0;0;2;2;0;3;1;19;1
"aprimoramento";0;0;0;0;1;0;1;0;2;5;2
"tdics";0;0;0;0;1;2;0;0;4;48;3
"alfabetização";0;0;0;0;1;0;4;4;10;5;2
"letramento";0;0;0;0;5;3;0;8;6;11;4
"sul";0;0;0;0;3;13;1;1;1;11;3
"américa";0;0;0;0;4;3;2;1;2;4;3
"orientar";0;0;0;0;1;3;1;1;2;3;3
"diferenciado";0;0;0;0;1;0;0;1;0;10;0
"fenômeno";0;0;0;0;3;7;3;7;0;4;1
"imprescindível";0;0;0;0;1;0;1;0;2;9;1
"trabalhador";0;0;0;0;1;0;1;0;6;7;2
"4";0;0;0;0;1;2;2;2;1;3;4
"5";0;0;0;0;1;3;1;2;4;4;4
"sociabilidade";0;0;0;0;2;1;1;0;1;5;0
"jovem";0;0;0;0;7;0;2;0;5;45;6
"rural";0;0;0;0;3;0;0;2;2;2;3
"proporcionar";0;0;0;0;3;2;2;1;2;17;8
"reconhecer";0;0;0;0;4;1;1;2;0;5;4
"população";0;0;0;0;2;0;8;1;6;11;7
"cuidado";0;0;0;0;1;0;4;1;5;3;12
"fornecer";0;0;0;0;4;1;5;1;6;29;15
"fortalecer";0;0;0;0;3;0;1;2;1;4;6
"resumo";0;0;0;0;4;24;7;9;9;5;2
"didático";0;0;0;0;5;7;4;3;6;27;12
"implementar";0;0;0;0;1;1;0;0;0;10;5
"ci";0;0;0;0;3;2;0;0;6;0;0
"face";0;0;0;0;1;3;0;1;0;4;1
"voltado";0;0;0;0;1;0;0;2;0;9;1
"transdisciplinar";0;0;0;0;1;3;2;1;1;2;1
"baseado";0;0;0;0;1;1;2;0;2;7;10
"epistemologia";0;0;0;0;4;9;0;0;1;5;0
"re";0;0;0;0;2;1;1;0;8;1;0
"compensar";0;0;0;0;1;0;2;0;0;10;1
"competência";0;0;0;0;2;4;4;1;9;2;10
"online";0;0;0;0;1;4;9;3;10;20;23
"atuar";0;0;0;0;1;2;3;3;2;13;2
"design";0;0;0;0;4;1;2;0;2;2;16
"armazenamento";0;0;0;0;1;8;0;0;2;3;0
"curadoria";0;0;0;0;4;1;0;0;4;1;0
"participativo";0;0;0;0;3;0;0;6;5;1;3
"dissertação";0;0;0;0;1;0;2;2;1;3;3
"sites";0;0;0;0;1;1;2;0;1;4;2
"down";0;0;0;0;1;0;0;0;0;32;0
"atualização";0;0;0;0;1;3;2;0;1;5;4
"classe";0;0;0;0;2;2;1;1;3;2;2
"seguida";0;0;0;0;1;3;2;0;2;10;2
"adotar";0;0;0;0;1;1;1;3;3;12;18
"técnica";0;0;0;0;1;10;5;4;11;16;9
"propriedade";0;0;0;0;1;1;0;0;0;6;4
"propiciar";0;0;0;0;4;1;0;1;6;9;2
"volume";0;0;0;0;1;7;9;1;0;1;0
"existência";0;0;0;0;1;1;1;0;3;8;0
"padrão";0;0;0;0;4;4;2;0;8;6;2
"tanger";0;0;0;0;2;5;0;1;3;5;1
"melhoria";0;0;0;0;1;1;0;1;3;19;9
"desempenho";0;0;0;0;1;9;1;3;4;3;5
"questionamento";0;0;0;0;1;1;1;1;0;14;1
"só";0;0;0;0;1;1;1;0;2;11;5
"experimentar";0;0;0;0;1;0;1;0;2;5;1
"dedutivo";0;0;0;0;1;1;0;0;1;7;2
"visual";0;0;0;0;1;4;3;5;2;4;6
"graça";0;0;0;0;1;0;0;0;1;11;1
"gráfico";0;0;0;0;1;0;2;0;9;1;6
"percepção";0;0;0;0;2;2;2;3;2;14;12
"departamento";0;0;0;0;2;0;2;0;4;2;1
"2001";0;0;0;0;1;3;1;0;1;25;2
"notícia";0;0;0;0;4;1;5;9;4;3;1
"fake_news";0;0;0;0;4;5;0;5;3;4;4
"site";0;0;0;0;1;2;3;1;0;3;0
"referir";0;0;0;0;3;4;5;0;4;4;9
"inclusão";0;0;0;0;3;0;1;4;9;52;20
"santana";0;0;0;0;1;1;0;0;1;10;2
"coleta";0;0;0;0;1;4;4;2;2;23;10
"beneficiar";0;0;0;0;2;1;1;0;3;3;0
"criança";0;0;0;0;2;1;0;3;5;38;9
"vário";0;0;0;0;1;3;3;1;3;9;6
"cooperação";0;0;0;0;1;0;1;0;2;0;8
"municipal";0;0;0;0;1;3;0;1;2;16;2
"estadual";0;0;0;0;1;2;0;1;3;16;4
"articulado";0;0;0;0;1;1;2;2;1;3;0
"proposto";0;0;0;0;1;9;0;3;8;14;2
"especializar";0;0;0;0;1;0;0;2;4;0;4
"critério";0;0;0;0;1;2;1;2;1;11;1
"adequação";0;0;0;0;1;1;0;0;0;11;0
"colaborar";0;0;0;0;1;5;1;3;3;10;0
"alto";0;0;0;0;1;4;2;1;3;4;5
"docente";0;0;0;0;6;2;6;4;21;116;16
"etc";0;0;0;0;1;3;2;0;1;1;2
"circulação";0;0;0;0;1;1;2;1;1;4;1
"deixar";0;0;0;0;1;1;0;0;4;1;4
"controlo";0;0;0;0;2;3;1;1;2;7;8
"dossiê";0;0;0;0;2;3;2;6;5;1;5
"quatro";0;0;0;0;3;0;1;1;4;12;2
"latino";0;0;0;0;3;0;4;0;0;7;6
"estúdio";0;0;0;0;1;1;3;2;1;5;1
"modalidade";0;0;0;0;2;3;0;1;3;12;6
"espanha";0;0;0;0;0;4;0;0;5;1;0
"produtivo";0;0;0;0;0;2;2;6;3;3;1
"dedicar";0;0;0;0;0;2;1;2;3;4;2
"finalidade";0;0;0;0;0;1;2;1;2;12;1
"seleção";0;0;0;0;0;4;0;1;2;5;5
"identificado";0;0;0;0;0;3;0;0;3;6;3
"agência";0;0;0;0;0;3;3;0;0;4;0
"desinformação";0;0;0;0;0;1;0;3;3;5;4
"graduação";0;0;0;0;0;2;6;2;8;15;5
"anotar";0;0;0;0;0;8;0;0;2;1;0
"custo";0;0;0;0;0;3;0;1;1;5;3
"2008";0;0;0;0;0;3;1;1;3;19;2
"orientação";0;0;0;0;0;2;1;0;7;5;2
"amplamente";0;0;0;0;0;3;1;0;3;3;0
"processamento";0;0;0;0;0;3;1;0;3;2;3
"motivo";0;0;0;0;0;1;0;1;1;18;1
"disponibilizar";0;0;0;0;0;5;6;2;5;3;0
"2015";0;0;0;0;0;3;5;5;6;8;7
"debater";0;0;0;0;0;1;1;1;1;6;2
"conectividade";0;0;0;0;0;6;4;0;0;1;2
"jogador";0;0;0;0;0;3;3;8;0;6;3
"advir";0;0;0;0;0;4;2;1;1;2;0
"lacuna";0;0;0;0;0;1;0;0;2;4;3
"2010";0;0;0;0;0;1;3;3;2;18;1
"habilidade";0;0;0;0;0;3;2;2;5;52;6
"2006";0;0;0;0;0;12;3;0;3;0;2
"sociocultural";0;0;0;0;0;3;0;0;0;11;2
"atentar";0;0;0;0;0;5;0;0;2;2;1
"preparar";0;0;0;0;0;2;0;0;2;6;7
"afirmar";0;0;0;0;0;1;1;0;2;14;1
"gama";0;0;0;0;0;1;0;0;2;20;1
"diretamente";0;0;0;0;0;3;0;2;4;2;1
"acontecer";0;0;0;0;0;1;0;1;0;32;2
"acarretar";0;0;0;0;0;1;0;1;1;9;0
"educar";0;0;0;0;0;2;0;2;1;17;1
"requerer";0;0;0;0;0;3;1;0;1;4;2
"barreira";0;0;0;0;0;3;1;1;0;2;3
"educador";0;0;0;0;0;3;3;1;6;28;16
"autônomo";0;0;0;0;0;2;2;0;0;2;5
"incerto";0;0;0;0;0;1;0;0;1;8;1
"curiosidade";0;0;0;0;0;1;0;0;0;17;0
"sala";0;0;0;0;0;2;5;2;7;61;10
"atender";0;0;0;0;0;6;1;2;9;16;13
"oficial";0;0;0;0;0;1;2;3;0;3;2
"assistir";0;0;0;0;0;2;1;0;3;1;3
"situar";0;0;0;0;0;2;1;2;0;4;1
"alcançar";0;0;0;0;0;1;0;2;4;21;3
"excluir";0;0;0;0;0;1;0;0;1;9;2
"argentino";0;0;0;0;0;1;3;5;0;1;0
"acessibilidade";0;0;0;0;0;1;1;0;0;2;11
"audiovisual";0;0;0;0;0;2;12;6;3;3;2
"fluxo";0;0;0;0;0;4;1;3;2;11;2
"contínuo";0;0;0;0;0;4;2;3;4;6;15
"pauta";0;0;0;0;0;1;1;0;1;9;0
"seguinte";0;0;0;0;0;2;0;0;3;15;5
"violência";0;0;0;0;0;2;0;1;25;7;3
"simbólico";0;0;0;0;0;2;2;2;0;4;1
"coisa";0;0;0;0;0;2;0;1;0;8;1
"deficiência";0;0;0;0;0;2;1;0;0;5;2
"investigativo";0;0;0;0;0;4;1;2;3;4;0
"capacitar";0;0;0;0;0;1;0;1;0;20;1
"abrangente";0;0;0;0;0;1;0;1;0;5;4
"par";0;0;0;0;0;2;0;2;1;1;4
"integral";0;0;0;0;0;1;0;0;2;6;3
"distribuição";0;0;0;0;0;1;1;0;4;4;2
"estimular";0;0;0;0;0;2;0;2;2;27;2
"1980";0;0;0;0;0;1;0;1;0;36;2
"editor";0;0;0;0;0;2;4;3;1;0;0
"equipa";0;0;0;0;0;1;1;0;2;6;2
"diversidade";0;0;0;0;0;1;2;1;3;8;4
"avaliação";0;0;0;0;0;1;2;1;4;13;10
"lúdico";0;0;0;0;0;4;0;0;1;4;5
"mobilizar";0;0;0;0;0;2;2;3;1;6;5
"afeto";0;0;0;0;0;2;0;1;1;6;4
"educandos";0;0;0;0;0;2;1;2;4;34;0
"gamificação";0;0;0;0;0;2;0;0;1;10;4
"útil";0;0;0;0;0;2;3;0;4;1;0
"setor";0;0;0;0;0;1;0;2;7;3;4
"engajado";0;0;0;0;0;1;1;0;0;9;0
"sustentável";0;0;0;0;0;1;0;1;0;6;9
"despertar";0;0;0;0;0;1;0;2;0;19;2
"compromisso";0;0;0;0;0;2;3;3;0;3;1
"sustentabilidade";0;0;0;0;0;5;0;1;1;3;2
"socioeconômico";0;0;0;0;0;1;0;2;1;5;1
"presencial";0;0;0;0;0;1;1;1;11;11;8
"ead";0;0;0;0;0;1;0;0;3;1;14
"promoção";0;0;0;0;0;2;1;1;2;9;13
"parceria";0;0;0;0;0;2;1;0;2;12;2
"estímulo";0;0;0;0;0;1;0;1;0;9;0
"prazo";0;0;0;0;0;2;1;0;0;2;5
"esforço";0;0;0;0;0;2;3;1;1;3;2
"silva";0;0;0;0;0;2;0;1;1;67;3
"amp";0;0;0;0;0;1;0;4;1;0;6
"pereira";0;0;0;0;0;1;0;0;0;11;0
"reunir";0;0;0;0;0;7;1;2;2;5;1
"idade";0;0;0;0;0;2;0;0;1;4;4
"desigualdade";0;0;0;0;0;2;1;6;3;6;8
"cibernético";0;0;0;0;0;1;0;0;0;2;8
"levantar";0;0;0;0;0;2;0;2;0;4;3
"urgente";0;0;0;0;0;2;3;1;1;12;2
"2019";0;0;0;0;0;3;0;4;7;19;7
"progresso";0;0;0;0;0;1;1;0;7;2;1
"tratado";0;0;0;0;0;2;3;1;0;9;0
"mau";0;0;0;0;0;1;0;0;2;8;0
"consequência";0;0;0;0;0;1;4;3;2;12;3
"segurança";0;0;0;0;0;1;1;0;4;11;10
"matemática";0;0;0;0;0;19;5;3;2;319;0
"ghemat";0;0;0;0;0;12;0;0;0;0;0
"matemático";0;0;0;0;0;1;0;0;0;12;0
"docência";0;0;0;0;0;2;0;1;5;4;2
"especialista";0;0;0;0;0;3;1;1;0;5;3
"execução";0;0;0;0;0;1;0;0;0;23;3
"geografia";0;0;0;0;0;1;0;0;4;20;1
"ramo";0;0;0;0;0;1;1;0;0;10;0
"curar";0;0;0;0;0;2;0;0;7;1;3
"significado";0;0;0;0;0;1;2;1;1;11;3
"et";0;0;0;0;0;1;3;1;0;0;18
"al";0;0;0;0;0;1;3;0;0;0;18
"1988";0;0;0;0;0;1;2;1;1;9;0
"moran";0;0;0;0;0;1;0;0;0;11;2
"mineração";0;0;0;0;0;3;2;1;2;2;0
"prever";0;0;0;0;0;1;0;0;3;5;1
"cumprir";0;0;0;0;0;1;0;4;2;7;4
"engajamento";0;0;0;0;0;1;0;1;0;12;9
"atualizar";0;0;0;0;0;1;2;1;1;2;6
"voz";0;0;0;0;0;1;1;12;2;5;1
"enfatizar";0;0;0;0;0;1;1;1;2;17;11
"enriquecer";0;0;0;0;0;1;3;0;1;5;13
"proteção";0;0;0;0;0;1;0;0;4;8;5
"ganhar";0;0;0;0;0;1;2;1;3;7;2
"associado";0;0;0;0;0;1;2;5;3;4;6
"impactar";0;0;0;0;0;1;1;3;4;15;5
"amazona";0;0;0;0;0;0;2;1;1;6;0
"campus";0;0;0;0;0;0;2;5;6;0;2
"questionário";0;0;0;0;0;0;2;0;4;31;7
"reconhecimento";0;0;0;0;0;0;5;2;3;5;0
"reforçar";0;0;0;0;0;0;3;0;0;9;3
"fundamento";0;0;0;0;0;0;2;0;1;3;4
"marketing";0;0;0;0;0;0;13;0;1;10;0
"science";0;0;0;0;0;0;1;6;1;3;1
"convidar";0;0;0;0;0;0;3;2;0;11;0
"2020";0;0;0;0;0;0;30;19;11;15;19
"visualizar";0;0;0;0;0;0;1;0;0;10;2
"tese";0;0;0;0;0;0;2;2;3;5;5
"doença";0;0;0;0;0;0;2;0;3;6;10
"covid";0;0;0;0;0;0;13;11;17;46;7
"19";0;0;0;0;0;0;13;11;17;47;8
"coronavírus";0;0;0;0;0;0;3;0;10;9;0
"saúde";0;0;0;0;0;0;21;5;12;26;40
"pandêmico";0;0;0;0;0;0;1;4;2;11;3
"pandemia";0;0;0;0;0;0;14;12;27;71;12
"adverso";0;0;0;0;0;0;1;0;4;1;4
"prevenção";0;0;0;0;0;0;3;0;3;6;8
"especializado";0;0;0;0;0;0;4;1;2;0;3
"jornada";0;0;0;0;0;0;3;0;1;11;2
"canal";0;0;0;0;0;0;2;2;7;2;0
"preocupação";0;0;0;0;0;0;1;0;0;5;4
"substituir";0;0;0;0;0;0;2;0;1;8;1
"criatividade";0;0;0;0;0;0;2;1;0;12;2
"2021";0;0;0;0;0;0;1;4;9;14;10
"curricular";0;0;0;0;0;0;2;3;3;18;9
"semiótica";0;0;0;0;0;0;2;1;1;0;6
"propagação";0;0;0;0;0;0;2;2;1;2;4
"isolamento";0;0;0;0;0;0;1;3;6;26;1
"familiar";0;0;0;0;0;0;1;2;6;13;1
"desafiador";0;0;0;0;0;0;2;0;1;8;2
"adaptar";0;0;0;0;0;0;1;2;2;7;10
"extensão";0;0;0;0;0;0;1;3;5;4;2
"discente";0;0;0;0;0;0;3;4;1;33;4
"discordar";0;0;0;0;0;0;2;0;6;5;2
"borges";0;0;0;0;0;0;1;1;1;20;0
"vídeo";0;0;0;0;0;0;3;2;4;5;4
"ressaltar";0;0;0;0;0;0;1;1;6;5;11
"temporal";0;0;0;0;0;0;2;1;5;1;2
"lhe";0;0;0;0;0;0;1;0;0;10;0
"notável";0;0;0;0;0;0;2;0;0;8;3
"erro";0;0;0;0;0;0;3;0;3;1;3
"cobertura";0;0;0;0;0;0;7;0;1;2;0
"indígena";0;0;0;0;0;0;1;1;0;10;10
"multimídia";0;0;0;0;0;0;1;1;0;9;6
"alves";0;0;0;0;0;0;1;0;1;28;0
"monitoramento";0;0;0;0;0;0;1;2;1;7;5
"recorrente";0;0;0;0;0;0;1;3;2;3;2
"infantil";0;0;0;0;0;0;1;4;4;26;3
"adulto";0;0;0;0;0;0;1;2;4;25;1
"desmistificar";0;0;0;0;0;0;1;0;0;9;0
"apoiar";0;0;0;0;0;0;1;1;1;7;4
"interacionismo";0;0;0;0;0;0;1;0;0;9;0
"comprometido";0;0;0;0;0;0;1;0;0;9;2
"vítima";0;0;0;0;0;0;1;0;3;4;2
"doméstico";0;0;0;0;0;0;1;1;6;2;2
"transição";0;0;0;0;0;0;2;3;2;2;3
"contextualizar";0;0;0;0;0;0;1;3;5;3;1
"vírus";0;0;0;0;0;0;1;1;0;9;1
"branco";0;0;0;0;0;0;2;4;2;9;3
"capitalista";0;0;0;0;0;0;2;3;0;3;4
"coletado";0;0;0;0;0;0;1;2;4;3;2
"imposto";0;0;0;0;0;0;0;2;1;11;2
"policial";0;0;0;0;0;0;0;3;0;3;5
"crime";0;0;0;0;0;0;0;1;1;9;11
"enfrentamento";0;0;0;0;0;0;0;2;9;2;1
"contemplação";0;0;0;0;0;0;0;1;0;9;0
"sistemático";0;0;0;0;0;0;0;1;5;1;9
"turismo";0;0;0;0;0;0;0;2;4;5;0
"emprego";0;0;0;0;0;0;0;3;3;10;1
"estilo";0;0;0;0;0;0;0;1;1;6;3
"afetar";0;0;0;0;0;0;0;1;2;5;2
"reforma";0;0;0;0;0;0;0;4;0;9;0
"trabalhista";0;0;0;0;0;0;0;1;3;6;3
"pedra";0;0;0;0;0;0;0;3;0;8;0
"ancoragem";0;0;0;0;0;0;0;1;0;16;0
"capítulo";0;0;0;0;0;0;0;2;0;40;1
"resolução";0;0;0;0;0;0;0;2;1;2;6
"videogame";0;0;0;0;0;0;0;1;0;0;9
"mãe";0;0;0;0;0;0;0;1;0;11;0
"francisco";0;0;0;0;0;0;0;2;1;33;0
"x0d";0;0;0;0;0;0;0;9;0;1;1
"tdic";0;0;0;0;0;0;0;3;1;14;5
"mental";0;0;0;0;0;0;0;4;2;4;4
"circunstância";0;0;0;0;0;0;0;1;0;9;1
"transtorno";0;0;0;0;0;0;0;2;1;27;1
"psicológico";0;0;0;0;0;0;0;1;0;5;5
"terror";0;0;0;0;0;0;0;1;1;8;0
"inovar";0;0;0;0;0;0;0;1;0;9;1
"equidade";0;0;0;0;0;0;0;1;1;3;7
"distanciamento";0;0;0;0;0;0;0;3;1;11;1
"falta";0;0;0;0;0;0;0;1;3;19;14
"instagram";0;0;0;0;0;0;0;1;0;11;1
"fortaleza";0;0;0;0;0;0;0;1;0;1;10
"desejado";0;0;0;0;0;0;0;1;0;9;0
"melhorar";0;0;0;0;0;0;0;4;4;16;15
"aliar";0;0;0;0;0;0;0;1;2;28;1
"transmitir";0;0;0;0;0;0;0;1;0;10;3
"casa";0;0;0;0;0;0;0;5;2;6;1
"charles";0;0;0;0;0;0;0;2;0;8;0
"adaptado";0;0;0;0;0;0;0;1;0;9;1
"luiz";0;0;0;0;0;0;0;1;1;8;0
"freitas";0;0;0;0;0;0;0;1;0;8;1
"batista";0;0;0;0;0;0;0;1;0;9;0
"pinheiro";0;0;0;0;0;0;0;1;0;9;1
"moldar";0;0;0;0;0;0;0;0;1;9;0
"emergencial";0;0;0;0;0;0;0;0;6;4;3
"erar";0;0;0;0;0;0;0;0;3;7;2
"qualificação";0;0;0;0;0;0;0;0;2;10;0
"licenciatura";0;0;0;0;0;0;0;0;2;14;0
"planejar";0;0;0;0;0;0;0;0;2;9;3
"paciente";0;0;0;0;0;0;0;0;5;2;16
"scielo";0;0;0;0;0;0;0;0;9;6;5
"bncc";0;0;0;0;0;0;0;0;4;8;1
"prova";0;0;0;0;0;0;0;0;2;12;2
"logo";0;0;0;0;0;0;0;0;3;10;2
"prazer";0;0;0;0;0;0;0;0;1;8;1
"ministério";0;0;0;0;0;0;0;0;4;9;0
"atendimento";0;0;0;0;0;0;0;0;3;8;0
"inclusivo";0;0;0;0;0;0;0;0;2;20;17
"herança";0;0;0;0;0;0;0;0;3;6;6
"síndroma";0;0;0;0;0;0;0;0;7;40;1
"tecnologias_educacionais";0;0;0;0;0;0;0;0;2;4;5
"transformador";0;0;0;0;0;0;0;0;1;8;1
"tecnologias_da_informação_e_comunicação";0;0;0;0;0;0;0;0;1;8;4
"instrucional";0;0;0;0;0;0;0;0;1;0;11
"doutor";0;0;0;0;0;0;0;0;5;5;0
"idoso";0;0;0;0;0;0;0;0;5;11;4
"dificultar";0;0;0;0;0;0;0;0;1;9;0
"letrado";0;0;0;0;0;0;0;0;1;8;1
"inteligência_artificial";0;0;0;0;0;0;0;0;5;0;5
"ausência";0;0;0;0;0;0;0;0;1;3;6
"rua";0;0;0;0;0;0;0;0;2;4;4
"formulário";0;0;0;0;0;0;0;0;1;9;1
"mec";0;0;0;0;0;0;0;0;1;8;1
"tributário";0;0;0;0;0;0;0;0;1;9;2
"fechado";0;0;0;0;0;0;0;0;1;10;1
"trindade";0;0;0;0;0;0;0;0;1;34;0
"eja";0;0;0;0;0;0;0;0;3;48;2
"sonho";0;0;0;0;0;0;0;0;12;8;1
"funcionar";0;0;0;0;0;0;0;0;1;12;4
"climático";0;0;0;0;0;0;0;0;7;2;1
"supervisionar";0;0;0;0;0;0;0;0;1;10;0
"amigo";0;0;0;0;0;0;0;0;2;8;0
"coordenador";0;0;0;0;0;0;0;0;1;8;1
"2022";0;0;0;0;0;0;0;0;1;8;6
"mediante";0;0;0;0;0;0;0;0;0;11;1
"mente";0;0;0;0;0;0;0;0;0;17;1
"máximo";0;0;0;0;0;0;0;0;0;10;0
